GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width,label,mean_s_simulation__speedup__V100_SXM2_CUDA_11.8
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1.000000,190.968140,0.017667,0.068581,0.000000,0.000000,0.000330,39304.000000,5.882353,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1.000000,178.532273,0.018000,0.081340,0.000000,0.000000,0.000394,50653.000000,5.405405,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,59319,39.000000,2.000000,1.000000,180.321111,0.018000,0.085295,0.000000,0.000000,0.000414,59319.000000,5.128205,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,68921,41.000000,2.000000,1.000000,181.674144,0.017667,0.090477,0.000000,0.000000,0.000440,68921.000000,4.878049,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,79507,43.000000,2.000000,1.000000,182.616592,0.017333,0.091691,0.000000,0.000000,0.000446,79507.000000,4.651163,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,91125,45.000000,2.000000,1.000000,184.291768,0.018333,0.091905,0.000000,0.000000,0.000447,91125.000000,4.444444,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,97336,46.000000,2.000000,1.000000,196.207550,0.018333,0.122972,0.000000,0.000000,0.000602,97336.000000,4.347826,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,195112,58.000000,2.000000,1.000000,198.959493,0.018333,0.197061,0.000000,0.000000,0.000972,195112.000000,3.448276,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,300763,67.000000,2.000000,1.000000,192.584839,0.018667,0.255690,0.000000,0.000000,0.001265,300763.000000,2.985075,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,405224,74.000000,2.000000,1.000000,202.003108,0.018000,0.336243,0.000000,0.000000,0.001668,405224.000000,2.702703,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,493039,79.000000,2.000000,1.000000,195.315414,0.017667,0.399574,0.000000,0.000000,0.001985,493039.000000,2.531646,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,592704,84.000000,2.000000,1.000000,203.049301,0.020000,0.478656,0.000000,0.000000,0.002381,592704.000000,2.380952,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,704969,89.000000,2.000000,1.000000,197.129283,0.018333,0.558387,0.000000,0.000000,0.002779,704969.000000,2.247191,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,804357,93.000000,2.000000,1.000000,197.677042,0.018333,0.585063,0.000000,0.000000,0.002912,804357.000000,2.150538,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,912673,97.000000,2.000000,1.000000,198.333059,0.018000,0.662798,0.000000,0.000000,0.003301,912673.000000,2.061856,V100 SXM2 CUDA 11.8,1.000000
Tesla V100-SXM2-32GB,1,0,circles_spatial3D_rtc,200,1000000,100.000000,2.000000,1.000000,204.504018,0.020000,0.746652,0.000000,0.000000,0.003720,1000000.000000,2.000000,V100 SXM2 CUDA 11.8,1.000000
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,10648,22.000000,2.000000,1.000000,10648.000000,0.000000,1.319749,0.000000,0.000000,0.006583,10648.000000,9.090909,A100 SXM4 CUDA 11.8,0.968097
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,19683,27.000000,2.000000,1.000000,19683.000000,0.000000,2.356732,0.000000,0.000000,0.011768,19683.000000,7.407407,A100 SXM4 CUDA 11.8,0.955558
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,29791,31.000000,2.000000,1.000000,29791.000000,0.000000,3.534444,0.000000,0.000000,0.017657,29791.000000,6.451613,A100 SXM4 CUDA 11.8,0.954380
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,39304,34.000000,2.000000,1.000000,39304.000000,0.000000,4.650127,0.000000,0.000000,0.023235,39304.000000,5.882353,A100 SXM4 CUDA 11.8,0.952264
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,50653,37.000000,2.000000,1.000000,50653.000000,0.000000,5.980932,0.000000,0.000000,0.029889,50653.000000,5.405405,A100 SXM4 CUDA 11.8,0.950703
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,59319,39.000000,2.000000,1.000000,59319.000000,0.000000,6.997691,0.000000,0.000000,0.034973,59319.000000,5.128205,A100 SXM4 CUDA 11.8,0.947342
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,68921,41.000000,2.000000,1.000000,68921.000000,0.000000,8.124188,0.000000,0.000000,0.040605,68921.000000,4.878049,A100 SXM4 CUDA 11.8,1.400487
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,79507,43.000000,2.000000,1.000000,79507.000000,0.000000,9.367025,0.000000,0.000000,0.046819,79507.000000,4.651163,A100 SXM4 CUDA 11.8,1.391412
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,91125,45.000000,2.000000,1.000000,91125.000000,0.000000,16.175238,0.000000,0.000000,0.080859,91125.000000,4.444444,A100 SXM4 CUDA 11.8,0.921969
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,97336,46.000000,2.000000,1.000000,97336.000000,0.000000,17.263850,0.000000,0.000000,0.086302,97336.000000,4.347826,A100 SXM4 CUDA 11.8,0.926698
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,195112,58.000000,2.000000,1.000000,195112.000000,0.000000,52.299471,0.000000,0.000000,0.261479,195112.000000,3.448276,A100 SXM4 CUDA 11.8,1.212102
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,300763,67.000000,2.000000,1.000000,300763.000000,0.000000,103.035471,0.000000,0.000000,0.515157,300763.000000,2.985075,A100 SXM4 CUDA 11.8,1.419691
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,405224,74.000000,2.000000,1.000000,405224.000000,0.000000,173.004379,0.000000,0.000000,0.865000,405224.000000,2.702703,A100 SXM4 CUDA 11.8,1.518433
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,493039,79.000000,2.000000,1.000000,493039.000000,0.000000,249.992116,0.000000,0.000000,1.249931,493039.000000,2.531646,A100 SXM4 CUDA 11.8,1.594785
