GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_ms_step,env_volume
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,58,1.000,0.787,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,59,1.000,0.786,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,60,1.000,0.793,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,61,1.000,0.791,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,62,1.000,0.796,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,63,1.000,0.796,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,64,1.000,0.803,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,65,1.000,0.805,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,66,1.000,0.805,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,67,1.000,0.804,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,68,1.000,0.807,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,69,1.000,0.811,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,70,1.000,0.810,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,71,1.000,0.810,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,72,1.000,0.818,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,73,1.000,0.819,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,74,1.000,0.821,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,75,1.000,0.823,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,76,1.000,0.828,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,77,1.000,0.830,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,78,1.000,0.831,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,79,1.000,0.835,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,80,1.000,0.839,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,81,1.000,0.839,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,82,1.000,0.844,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,83,1.000,0.849,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,84,1.000,0.853,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,85,1.000,0.855,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,86,1.000,0.857,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,87,1.000,0.862,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,88,1.000,0.865,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,89,1.000,0.871,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,90,1.000,0.871,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,91,1.000,0.879,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,92,1.000,0.882,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,93,1.000,0.885,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,94,1.000,0.885,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,95,1.000,0.891,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,96,1.000,0.895,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,97,1.000,0.895,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,98,1.000,0.902,19683.000
TITAN V,1,0,circles_spatial3D,100,19683,27.000,2.000,99,1.000,0.907,19683.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,0,2.000,1.822,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,1,2.000,1.353,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,2,2.000,1.353,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,3,2.000,1.356,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,4,2.000,1.357,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,5,2.000,1.357,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,6,2.000,1.356,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,7,2.000,1.356,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,8,2.000,1.359,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,9,2.000,1.358,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,10,2.000,1.358,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,11,2.000,1.359,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,12,2.000,1.358,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,13,2.000,1.358,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,14,2.000,1.364,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,15,2.000,1.361,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,16,2.000,1.359,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,17,2.000,1.363,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,18,2.000,1.362,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,19,2.000,1.365,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,20,2.000,1.368,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,21,2.000,1.362,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,22,2.000,1.362,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,23,2.000,1.370,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,24,2.000,1.366,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,25,2.000,1.364,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,26,2.000,1.367,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,27,2.000,1.368,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,28,2.000,1.368,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,29,2.000,1.371,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,30,2.000,1.370,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,31,2.000,1.369,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,32,2.000,1.373,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,33,2.000,1.373,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,34,2.000,1.379,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,35,2.000,1.378,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,36,2.000,1.382,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,37,2.000,1.378,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,38,2.000,1.382,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,39,2.000,1.382,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,40,2.000,1.389,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,41,2.000,1.390,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,42,2.000,1.394,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,43,2.000,1.392,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,44,2.000,1.395,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,45,2.000,1.394,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,46,2.000,1.396,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,47,2.000,1.398,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,48,2.000,1.404,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,49,2.000,1.405,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,50,2.000,1.401,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,51,2.000,1.405,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,52,2.000,1.407,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,53,2.000,1.409,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,54,2.000,1.411,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,55,2.000,1.415,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,56,2.000,1.417,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,57,2.000,1.420,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,58,2.000,1.420,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,59,2.000,1.425,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,60,2.000,1.426,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,61,2.000,1.432,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,62,2.000,1.434,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,63,2.000,1.441,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,64,2.000,1.441,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,65,2.000,1.447,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,66,2.000,1.454,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,67,2.000,1.453,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,68,2.000,1.458,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,69,2.000,1.461,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,70,2.000,1.465,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,71,2.000,1.473,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,72,2.000,1.473,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,73,2.000,1.477,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,74,2.000,1.482,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,75,2.000,1.488,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,76,2.000,1.495,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,77,2.000,1.502,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,78,2.000,1.515,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,79,2.000,1.517,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,80,2.000,1.529,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,81,2.000,1.532,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,82,2.000,1.540,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,83,2.000,1.548,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,84,2.000,1.555,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,85,2.000,1.561,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,86,2.000,1.573,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,87,2.000,1.581,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,88,2.000,1.592,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,89,2.000,1.599,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,90,2.000,1.607,10648.000
TITAN V,1,0,circles_spatial3D,100,21296,22.000,2.000,91,2.000,1.618,10648.000
