GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_ms_rtc,mean_ms_simulation,mean_ms_init,mean_ms_exit,mean_ms_step_mean,env_volume
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,343000,70.000,2.000,1.000,212.712,12.796,1197.395,0.002,0.069,5.973,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,364500,45.000,2.000,4.000,787.360,12.892,4025.583,0.002,0.102,20.113,91125.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,389344,46.000,2.000,4.000,837.189,13.033,4442.246,0.003,0.070,22.197,97336.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,390224,58.000,2.000,2.000,421.942,12.289,2431.154,0.002,0.068,12.142,195112.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,405224,74.000,2.000,1.000,213.256,12.905,1441.567,0.002,0.065,7.194,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,446631,53.000,2.000,3.000,600.010,13.168,3984.568,0.002,0.075,19.908,148877.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,456533,77.000,2.000,1.000,206.462,12.976,1852.020,0.003,0.070,9.247,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,493039,79.000,2.000,1.000,206.921,12.362,2217.353,0.002,0.070,11.073,493039.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,500094,63.000,2.000,2.000,405.273,12.497,3889.648,0.002,0.068,19.434,250047.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,585336,58.000,2.000,3.000,631.759,13.241,9867.171,0.003,0.073,49.321,195112.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,595508,53.000,2.000,4.000,798.939,13.025,12973.785,0.002,0.110,64.854,148877.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,601526,67.000,2.000,2.000,406.739,13.309,7197.477,0.002,0.073,35.973,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,686000,70.000,2.000,2.000,423.444,13.014,10754.973,0.002,0.101,53.760,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,750141,63.000,2.000,3.000,606.026,12.975,17976.218,0.002,0.104,89.865,250047.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,780448,58.000,2.000,4.000,842.255,13.469,26811.573,0.002,0.138,134.041,195112.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,810448,74.000,2.000,2.000,423.801,13.672,15369.395,0.002,0.104,76.831,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,902289,67.000,2.000,3.000,608.146,13.534,26038.714,0.002,0.102,130.177,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,913066,77.000,2.000,2.000,409.627,14.608,18525.396,0.002,0.107,92.611,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,986078,79.000,2.000,2.000,410.249,12.972,21684.867,0.002,0.112,108.408,493039.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1000188,63.000,2.000,4.000,807.175,13.847,41959.875,0.002,0.136,209.781,250047.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1029000,70.000,2.000,3.000,633.518,13.866,35523.673,0.002,0.137,177.601,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1203052,67.000,2.000,4.000,810.239,14.074,63116.667,0.002,0.163,315.564,300763.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1215672,74.000,2.000,3.000,634.429,13.989,51275.949,0.002,0.169,256.360,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1369599,77.000,2.000,3.000,613.091,14.239,62546.145,0.002,0.173,312.711,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1372000,70.000,2.000,4.000,844.679,14.489,84985.320,0.002,0.173,424.906,343000.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1479117,79.000,2.000,3.000,613.635,14.839,71114.190,0.002,0.179,355.551,493039.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1620896,74.000,2.000,4.000,846.067,14.322,112981.929,0.002,0.167,564.888,405224.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1826132,77.000,2.000,4.000,816.902,13.839,133181.380,0.003,0.167,665.885,456533.000
Tesla V100-SXM2-32GB,0,0,circles_spatial3D_rtc,200,1972156,79.000,2.000,4.000,818.051,14.714,148782.630,0.003,0.179,743.891,493039.000
