GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D,100,151959,37.000,2.000,1,3.000,552.421,0.002,1142.891,0.002,0.030,11.421
TITAN V,1,0,circles_spatial3D,100,151959,37.000,2.000,2,3.000,553.082,0.003,1122.804,0.002,0.035,11.220
TITAN V,1,0,circles_spatial3D_rtc,100,151959,37.000,2.000,0,3.000,552.592,7.807,706.651,0.002,0.032,7.058
TITAN V,1,0,circles_spatial3D_rtc,100,151959,37.000,2.000,1,3.000,552.421,7.775,707.379,0.002,0.030,7.066
TITAN V,1,0,circles_spatial3D_rtc,100,151959,37.000,2.000,2,3.000,553.082,7.781,705.065,0.002,0.031,7.043
TITAN V,1,0,circles_spatial3D,100,202612,37.000,2.000,0,4.000,736.377,0.003,1692.220,0.002,0.034,16.914
TITAN V,1,0,circles_spatial3D,100,202612,37.000,2.000,1,4.000,735.842,0.003,1684.608,0.002,0.039,16.838
TITAN V,1,0,circles_spatial3D,100,202612,37.000,2.000,2,4.000,737.336,0.003,1696.476,0.002,0.039,16.957
TITAN V,1,0,circles_spatial3D_rtc,100,202612,37.000,2.000,0,4.000,736.377,7.870,1352.403,0.002,0.034,13.516
TITAN V,1,0,circles_spatial3D_rtc,100,202612,37.000,2.000,1,4.000,735.842,7.858,1348.318,0.002,0.032,13.475
TITAN V,1,0,circles_spatial3D_rtc,100,202612,37.000,2.000,2,4.000,737.336,7.913,1341.125,0.002,0.034,13.403
TITAN V,1,0,circles_spatial3D,100,59319,39.000,2.000,0,1.000,186.512,0.002,151.408,0.002,0.036,1.506
TITAN V,1,0,circles_spatial3D,100,59319,39.000,2.000,1,1.000,186.767,0.002,151.815,0.002,0.037,1.510
TITAN V,1,0,circles_spatial3D,100,59319,39.000,2.000,2,1.000,186.714,0.003,152.599,0.002,0.036,1.518
TITAN V,1,0,circles_spatial3D_rtc,100,59319,39.000,2.000,0,1.000,186.512,7.648,111.943,0.002,0.031,1.112
TITAN V,1,0,circles_spatial3D_rtc,100,59319,39.000,2.000,1,1.000,186.767,7.643,111.920,0.002,0.038,1.111
TITAN V,1,0,circles_spatial3D_rtc,100,59319,39.000,2.000,2,1.000,186.714,7.656,111.916,0.002,0.030,1.111
TITAN V,1,0,circles_spatial3D,100,118638,39.000,2.000,0,2.000,371.714,0.002,562.595,0.002,0.039,5.618
TITAN V,1,0,circles_spatial3D,100,118638,39.000,2.000,1,2.000,371.689,0.002,563.199,0.002,0.039,5.624
TITAN V,1,0,circles_spatial3D,100,118638,39.000,2.000,2,2.000,371.870,0.002,561.966,0.002,0.033,5.612
TITAN V,1,0,circles_spatial3D_rtc,100,118638,39.000,2.000,0,2.000,371.714,7.712,466.778,0.002,0.032,4.660
TITAN V,1,0,circles_spatial3D_rtc,100,118638,39.000,2.000,1,2.000,371.689,7.724,463.614,0.002,0.032,4.628
TITAN V,1,0,circles_spatial3D_rtc,100,118638,39.000,2.000,2,2.000,371.870,7.725,466.313,0.002,0.031,4.655
TITAN V,1,0,circles_spatial3D,100,177957,39.000,2.000,0,3.000,556.707,0.002,1250.450,0.002,0.032,12.496
TITAN V,1,0,circles_spatial3D,100,177957,39.000,2.000,1,3.000,556.415,0.002,1249.461,0.002,0.033,12.486
TITAN V,1,0,circles_spatial3D,100,177957,39.000,2.000,2,3.000,557.751,0.002,1249.487,0.002,0.069,12.486
TITAN V,1,0,circles_spatial3D_rtc,100,177957,39.000,2.000,0,3.000,556.707,7.992,741.149,0.002,0.032,7.403
TITAN V,1,0,circles_spatial3D_rtc,100,177957,39.000,2.000,1,3.000,556.415,7.833,740.034,0.002,0.034,7.392
TITAN V,1,0,circles_spatial3D_rtc,100,177957,39.000,2.000,2,3.000,557.751,7.827,742.662,0.002,0.032,7.418
TITAN V,1,0,circles_spatial3D,100,237276,39.000,2.000,0,4.000,742.531,0.003,2117.387,0.002,0.041,21.166
TITAN V,1,0,circles_spatial3D,100,237276,39.000,2.000,1,4.000,741.901,0.003,2102.428,0.002,0.041,21.016
TITAN V,1,0,circles_spatial3D,100,237276,39.000,2.000,2,4.000,743.508,0.003,2125.235,0.002,0.043,21.244
TITAN V,1,0,circles_spatial3D_rtc,100,237276,39.000,2.000,0,4.000,742.531,7.968,1425.451,0.002,0.042,14.246
TITAN V,1,0,circles_spatial3D_rtc,100,237276,39.000,2.000,1,4.000,741.901,7.917,1427.014,0.002,0.041,14.262
TITAN V,1,0,circles_spatial3D_rtc,100,237276,39.000,2.000,2,4.000,743.508,7.959,1428.964,0.002,0.041,14.281
TITAN V,1,0,circles_spatial3D,100,68921,41.000,2.000,0,1.000,188.158,0.002,163.005,0.002,0.038,1.622
TITAN V,1,0,circles_spatial3D,100,68921,41.000,2.000,1,1.000,188.014,0.002,162.027,0.002,0.037,1.613
TITAN V,1,0,circles_spatial3D,100,68921,41.000,2.000,2,1.000,188.219,0.002,163.986,0.002,0.038,1.632
TITAN V,1,0,circles_spatial3D_rtc,100,68921,41.000,2.000,0,1.000,188.158,7.732,118.883,0.002,0.030,1.181
TITAN V,1,0,circles_spatial3D_rtc,100,68921,41.000,2.000,1,1.000,188.014,7.674,117.829,0.002,0.031,1.170
TITAN V,1,0,circles_spatial3D_rtc,100,68921,41.000,2.000,2,1.000,188.219,7.639,117.839,0.002,0.031,1.171
TITAN V,1,0,circles_spatial3D,100,137842,41.000,2.000,0,2.000,374.500,0.002,590.012,0.002,0.038,5.892
TITAN V,1,0,circles_spatial3D,100,137842,41.000,2.000,1,2.000,373.925,0.002,589.669,0.002,0.032,5.889
TITAN V,1,0,circles_spatial3D,100,137842,41.000,2.000,2,2.000,374.879,0.002,595.348,0.002,0.039,5.946
TITAN V,1,0,circles_spatial3D_rtc,100,137842,41.000,2.000,0,2.000,374.500,7.766,489.510,0.002,0.032,4.887
TITAN V,1,0,circles_spatial3D_rtc,100,137842,41.000,2.000,1,2.000,373.925,7.790,475.036,0.002,0.031,4.742
TITAN V,1,0,circles_spatial3D_rtc,100,137842,41.000,2.000,2,2.000,374.879,7.767,488.358,0.002,0.031,4.875
