GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D_rtc,100,97336,46.000,2.000,1,1.000,202.264,7.743,225.438,0.002,0.031,2.246
TITAN V,1,0,circles_spatial3D_rtc,100,97336,46.000,2.000,2,1.000,202.548,7.734,231.625,0.002,0.031,2.308
TITAN V,1,0,circles_bruteforce,100,195112,58.000,2.000,0,1.000,195112.000,0.003,50888.676,0.002,0.002,508.879
TITAN V,1,0,circles_bruteforce,100,195112,58.000,2.000,1,1.000,195112.000,0.002,50853.223,0.002,0.002,508.524
TITAN V,1,0,circles_bruteforce,100,195112,58.000,2.000,2,1.000,195112.000,0.003,50757.918,0.002,0.002,507.571
TITAN V,1,0,circles_bruteforce_rtc,100,195112,58.000,2.000,0,1.000,195112.000,7.984,15684.323,0.002,0.002,156.835
TITAN V,1,0,circles_bruteforce_rtc,100,195112,58.000,2.000,1,1.000,195112.000,7.805,15701.853,0.002,0.002,157.011
TITAN V,1,0,circles_bruteforce_rtc,100,195112,58.000,2.000,2,1.000,195112.000,7.788,15722.700,0.002,0.002,157.219
TITAN V,1,0,circles_spatial3D,100,195112,58.000,2.000,0,1.000,204.740,0.003,505.655,0.002,0.045,5.049
TITAN V,1,0,circles_spatial3D,100,195112,58.000,2.000,1,1.000,205.271,0.003,506.057,0.002,0.074,5.052
TITAN V,1,0,circles_spatial3D,100,195112,58.000,2.000,2,1.000,205.593,0.003,508.497,0.002,0.042,5.077
TITAN V,1,0,circles_spatial3D_rtc,100,195112,58.000,2.000,0,1.000,204.740,8.057,381.729,0.002,0.031,3.809
TITAN V,1,0,circles_spatial3D_rtc,100,195112,58.000,2.000,1,1.000,205.271,7.876,384.983,0.002,0.032,3.842
TITAN V,1,0,circles_spatial3D_rtc,100,195112,58.000,2.000,2,1.000,205.593,7.848,382.711,0.002,0.032,3.819
TITAN V,1,0,circles_bruteforce,100,300763,67.000,2.000,0,1.000,300763.000,0.003,108020.367,0.002,0.002,1080.195
TITAN V,1,0,circles_bruteforce,100,300763,67.000,2.000,1,1.000,300763.000,0.003,108023.211,0.002,0.002,1080.224
TITAN V,1,0,circles_bruteforce,100,300763,67.000,2.000,2,1.000,300763.000,0.003,108034.398,0.002,0.002,1080.335
TITAN V,1,0,circles_bruteforce_rtc,100,300763,67.000,2.000,0,1.000,300763.000,8.041,35912.766,0.002,0.002,359.120
TITAN V,1,0,circles_bruteforce_rtc,100,300763,67.000,2.000,1,1.000,300763.000,8.156,37265.516,0.002,0.002,372.647
TITAN V,1,0,circles_bruteforce_rtc,100,300763,67.000,2.000,2,1.000,300763.000,7.915,37657.301,0.002,0.002,376.565
TITAN V,1,0,circles_spatial3D,100,300763,67.000,2.000,0,1.000,198.301,0.003,815.025,0.002,0.050,8.142
TITAN V,1,0,circles_spatial3D,100,300763,67.000,2.000,1,1.000,198.463,0.004,811.458,0.002,0.043,8.107
TITAN V,1,0,circles_spatial3D,100,300763,67.000,2.000,2,1.000,198.794,0.003,812.046,0.002,0.044,8.112
TITAN V,1,0,circles_spatial3D_rtc,100,300763,67.000,2.000,0,1.000,198.301,8.189,567.187,0.002,0.042,5.664
TITAN V,1,0,circles_spatial3D_rtc,100,300763,67.000,2.000,1,1.000,198.463,7.956,562.819,0.002,0.043,5.620
TITAN V,1,0,circles_spatial3D_rtc,100,300763,67.000,2.000,2,1.000,198.794,7.932,567.109,0.002,0.042,5.663
TITAN V,1,0,circles_bruteforce,100,405224,74.000,2.000,0,1.000,405224.000,0.003,181533.297,0.002,0.002,1815.324
TITAN V,1,0,circles_bruteforce,100,405224,74.000,2.000,1,1.000,405224.000,0.003,181532.453,0.002,0.002,1815.316
TITAN V,1,0,circles_bruteforce,100,405224,74.000,2.000,2,1.000,405224.000,0.003,181529.047,0.002,0.002,1815.282
TITAN V,1,0,circles_bruteforce_rtc,100,405224,74.000,2.000,0,1.000,405224.000,8.129,67250.008,0.002,0.002,672.492
TITAN V,1,0,circles_bruteforce_rtc,100,405224,74.000,2.000,1,1.000,405224.000,8.118,67344.016,0.002,0.002,673.432
TITAN V,1,0,circles_bruteforce_rtc,100,405224,74.000,2.000,2,1.000,405224.000,8.109,67508.328,0.002,0.002,675.075
TITAN V,1,0,circles_spatial3D,100,405224,74.000,2.000,0,1.000,207.801,0.003,1780.351,0.002,0.052,17.795
TITAN V,1,0,circles_spatial3D,100,405224,74.000,2.000,1,1.000,207.810,0.003,1788.042,0.002,0.045,17.872
TITAN V,1,0,circles_spatial3D,100,405224,74.000,2.000,2,1.000,208.337,0.003,1789.093,0.002,0.044,17.883
TITAN V,1,0,circles_spatial3D_rtc,100,405224,74.000,2.000,0,1.000,207.801,8.233,1336.985,0.002,0.043,13.362
TITAN V,1,0,circles_spatial3D_rtc,100,405224,74.000,2.000,1,1.000,207.810,8.007,1361.804,0.002,0.074,13.609
TITAN V,1,0,circles_spatial3D_rtc,100,405224,74.000,2.000,2,1.000,208.337,8.218,1347.290,0.002,0.044,13.465
TITAN V,1,0,circles_bruteforce,100,493039,79.000,2.000,0,1.000,493039.000,0.003,264834.969,0.002,0.002,2648.341
TITAN V,1,0,circles_bruteforce,100,493039,79.000,2.000,1,1.000,493039.000,0.003,264734.688,0.002,0.002,2647.338
TITAN V,1,0,circles_bruteforce,100,493039,79.000,2.000,2,1.000,493039.000,0.003,264850.312,0.002,0.002,2648.494
TITAN V,1,0,circles_bruteforce_rtc,100,493039,79.000,2.000,0,1.000,493039.000,8.160,100929.555,0.002,0.002,1009.287
TITAN V,1,0,circles_bruteforce_rtc,100,493039,79.000,2.000,1,1.000,493039.000,8.314,101034.164,0.002,0.002,1010.333
TITAN V,1,0,circles_bruteforce_rtc,100,493039,79.000,2.000,2,1.000,493039.000,8.166,100839.602,0.002,0.002,1008.387
TITAN V,1,0,circles_spatial3D,100,493039,79.000,2.000,0,1.000,201.128,0.004,2783.635,0.002,0.043,27.828
TITAN V,1,0,circles_spatial3D,100,493039,79.000,2.000,1,1.000,201.090,0.004,2766.563,0.002,0.041,27.657
TITAN V,1,0,circles_spatial3D,100,493039,79.000,2.000,2,1.000,201.679,0.003,2782.818,0.002,0.046,27.820
TITAN V,1,0,circles_spatial3D_rtc,100,493039,79.000,2.000,0,1.000,201.128,8.240,2178.995,0.002,0.047,21.782
TITAN V,1,0,circles_spatial3D_rtc,100,493039,79.000,2.000,1,1.000,201.090,7.980,2167.034,0.002,0.048,21.662
TITAN V,1,0,circles_spatial3D_rtc,100,493039,79.000,2.000,2,1.000,201.679,8.043,2168.500,0.002,0.045,21.677
TITAN V,1,0,circles_bruteforce,100,592704,84.000,2.000,0,1.000,592704.000,0.003,371265.312,0.002,0.002,3712.644
TITAN V,1,0,circles_bruteforce,100,592704,84.000,2.000,1,1.000,592704.000,0.004,371269.125,0.002,0.002,3712.681
TITAN V,1,0,circles_bruteforce,100,592704,84.000,2.000,2,1.000,592704.000,0.004,371051.750,0.002,0.002,3710.508
TITAN V,1,0,circles_bruteforce_rtc,100,592704,84.000,2.000,0,1.000,592704.000,8.260,145107.422,0.002,0.002,1451.065
TITAN V,1,0,circles_bruteforce_rtc,100,592704,84.000,2.000,1,1.000,592704.000,8.249,145592.641,0.002,0.002,1455.917
TITAN V,1,0,circles_bruteforce_rtc,100,592704,84.000,2.000,2,1.000,592704.000,8.229,145316.656,0.002,0.002,1453.157
TITAN V,1,0,circles_spatial3D,100,592704,84.000,2.000,0,1.000,208.928,0.003,4168.919,0.002,0.050,41.681
TITAN V,1,0,circles_spatial3D,100,592704,84.000,2.000,1,1.000,208.943,0.003,4161.852,0.002,0.047,41.610
TITAN V,1,0,circles_spatial3D,100,592704,84.000,2.000,2,1.000,209.358,0.003,4178.661,0.002,0.047,41.778
TITAN V,1,0,circles_spatial3D_rtc,100,592704,84.000,2.000,0,1.000,208.928,8.268,3282.300,0.002,0.048,32.815
TITAN V,1,0,circles_spatial3D_rtc,100,592704,84.000,2.000,1,1.000,208.943,8.103,3278.789,0.002,0.046,32.780
TITAN V,1,0,circles_spatial3D_rtc,100,592704,84.000,2.000,2,1.000,209.358,8.034,3286.776,0.002,0.046,32.859
TITAN V,1,0,circles_bruteforce,100,704969,89.000,2.000,0,1.000,704969.000,0.005,507753.719,0.002,0.002,5077.526
TITAN V,1,0,circles_bruteforce,100,704969,89.000,2.000,1,1.000,704969.000,0.004,508883.250,0.002,0.002,5088.822
TITAN V,1,0,circles_bruteforce,100,704969,89.000,2.000,2,1.000,704969.000,0.004,507623.906,0.002,0.002,5076.228
TITAN V,1,0,circles_bruteforce_rtc,100,704969,89.000,2.000,0,1.000,704969.000,8.329,203433.344,0.002,0.002,2034.324
TITAN V,1,0,circles_bruteforce_rtc,100,704969,89.000,2.000,1,1.000,704969.000,8.220,203419.047,0.002,0.002,2034.181
TITAN V,1,0,circles_bruteforce_rtc,100,704969,89.000,2.000,2,1.000,704969.000,8.290,203686.953,0.002,0.002,2036.861
TITAN V,1,0,circles_spatial3D,100,704969,89.000,2.000,0,1.000,202.897,0.003,5835.671,0.002,0.080,58.348
TITAN V,1,0,circles_spatial3D,100,704969,89.000,2.000,1,1.000,202.877,0.004,5820.233,0.002,0.050,58.194
TITAN V,1,0,circles_spatial3D,100,704969,89.000,2.000,2,1.000,203.069,0.004,5867.601,0.002,0.051,58.668
TITAN V,1,0,circles_spatial3D_rtc,100,704969,89.000,2.000,0,1.000,202.897,8.367,4756.564,0.002,0.046,47.557
TITAN V,1,0,circles_spatial3D_rtc,100,704969,89.000,2.000,1,1.000,202.877,8.172,4745.972,0.002,0.048,47.451
TITAN V,1,0,circles_spatial3D_rtc,100,704969,89.000,2.000,2,1.000,203.069,7.960,4743.900,0.002,0.073,47.430
TITAN V,1,0,circles_bruteforce,100,804357,93.000,2.000,0,1.000,804357.000,0.003,654299.812,0.002,0.002,6542.987
TITAN V,1,0,circles_bruteforce,100,804357,93.000,2.000,1,1.000,804357.000,0.003,654601.125,0.002,0.002,6546.002
TITAN V,1,0,circles_bruteforce,100,804357,93.000,2.000,2,1.000,804357.000,0.004,653553.375,0.002,0.002,6535.524
TITAN V,1,0,circles_bruteforce_rtc,100,804357,93.000,2.000,0,1.000,804357.000,8.383,264607.094,0.002,0.002,2646.061
TITAN V,1,0,circles_bruteforce_rtc,100,804357,93.000,2.000,1,1.000,804357.000,8.216,264997.625,0.002,0.002,2649.967
TITAN V,1,0,circles_bruteforce_rtc,100,804357,93.000,2.000,2,1.000,804357.000,8.250,265397.406,0.002,0.002,2653.964
TITAN V,1,0,circles_spatial3D,100,804357,93.000,2.000,0,1.000,203.595,0.003,7846.603,0.002,0.055,78.458
TITAN V,1,0,circles_spatial3D,100,804357,93.000,2.000,1,1.000,203.431,0.004,7868.348,0.002,0.051,78.675
TITAN V,1,0,circles_spatial3D,100,804357,93.000,2.000,2,1.000,203.635,0.003,7843.940,0.002,0.052,78.431
TITAN V,1,0,circles_spatial3D_rtc,100,804357,93.000,2.000,0,1.000,203.595,8.475,6367.648,0.002,0.073,63.668
TITAN V,1,0,circles_spatial3D_rtc,100,804357,93.000,2.000,1,1.000,203.431,8.455,6356.506,0.002,0.050,63.557
TITAN V,1,0,circles_spatial3D_rtc,100,804357,93.000,2.000,2,1.000,203.635,8.060,6360.488,0.002,0.049,63.596
TITAN V,1,0,circles_bruteforce,100,912673,97.000,2.000,0,1.000,912673.000,0.003,831575.438,0.002,0.002,8315.741
